time,S,R,F,T,dose_u1
20.4,565.545735388081,804669.734635249,162890.872550926,805235.280370637,0
20.6,549.143117289439,804753.878664153,162909.004649915,805303.021781442,0
20.8,533.206199005095,804831.679842234,162925.55612593,805364.88604124,0
21,517.727023002339,804903.618677201,162940.648777562,805421.345700203,0
21.2,502.764413292557,804969.393303005,162954.211661659,805472.157716297,0
21.4,488.207283040715,805030.64727528,162966.65679831,805518.854558321,0
21.6,474.026611991118,805087.9109576,162978.118728353,805561.937569591,0
21.8,460.250919302046,805141.099410836,162988.580680049,805601.350330138,0
22,446.873007869248,805190.507373057,162998.119845114,805637.380380926,0
22.2,433.943677008646,805235.923619063,163006.691493667,805669.867296072,0
22.4,421.366237835258,805278.400933644,163014.556307911,805699.767171479,0
22.6,409.115357705637,805318.276631453,163021.799429033,805727.391989158,0
22.8,397.215626291665,805355.487442089,163028.410311131,805752.703068381,0
23,385.66065682053,805390.217972775,163034.437813218,805775.878629595,0
23.2,374.494308403428,805422.319640214,163039.853715471,805796.813948618,0
23.4,363.632697558451,805452.478557918,163044.822842256,805816.111255476,0
23.6,353.053807137455,805480.912855215,163049.399033958,805833.966662352,0
23.8,342.778845640106,805507.575355194,163053.575648723,805850.354200834,0
24,332.802206340209,805532.583280665,163057.383587284,805865.385487005,0
24.2,323.161749049668,805555.830545292,163060.805038885,805878.992294342,0
24.4,313.784844977252,805577.771514508,163063.944175939,805891.556359485,0
24.6,304.652409507263,805598.549336257,163066.835029571,805903.201745764,0
24.8,295.78273800105,805618.128344065,163069.473412413,805913.911082066,0
25,287.170940134665,805636.583750261,163071.878857603,805923.754690396,0
