time,S,R,F,T,dose_u1
13.4,21322.1492180541,741569.086373067,158109.726435857,762891.235591121,1.5
13.6,17106.116806361,747866.973880099,158537.496643749,764973.09068646,1.5
13.8,13681.0996219138,753903.483859327,158929.444119776,767584.583481241,1.5
14,10903.2507426259,759567.715972335,159288.504952382,770470.966714961,0
14.2,10661.4810800495,764773.566733038,159612.82523073,775435.047813088,0
14.4,10414.5136571535,769243.880358011,159911.445592551,779658.394015164,0
14.6,10164.495123541,773111.838189821,160187.315752426,783276.333313362,0
14.8,9912.90502941931,776411.901219966,160439.907936019,786324.806249385,0
15,9661.34054222069,779230.793092557,160670.871072385,788892.133634778,1.5
15.2,7541.60842957935,781507.386858741,160881.44422394,789048.995288321,1.5
15.4,5857.13111796705,783787.572562475,161074.490988075,789644.703680442,1.5
15.6,4535.09446076075,785991.697516201,161250.922479063,790526.791976962,1.5
15.8,3502.21206561935,788064.248911982,161412.080150668,791566.460977602,1.5
16,2695.9195604963,789972.344770448,161559.303280936,792668.264330945,0
16.2,2624.53238326771,791953.368022271,161691.892136838,794577.900405538,0
16.4,2553.97632958852,793638.664241992,161813.712585735,796192.640571581,0
16.6,2484.36971630633,795084.846425706,161926.038276232,797569.216142012,0
16.8,2415.95293265133,796308.218472339,162028.685422258,798724.17140499,0
17,2348.85741740142,797345.1187148,162122.381015694,799693.976132201,1.5
17.2,1775.93066356306,797894.946145431,162207.694251199,799670.876808994,1.5
17.4,1335.62544252666,798463.028208777,162285.755977131,799798.653651304,1.5
17.6,1001.70898283396,799021.485762358,162356.994818094,800023.194745192,1.5
17.8,749.573511806904,799550.967854998,162421.985196854,800300.541366805,1.5
18,559.185111653002,800040.097255361,162481.2885798,800599.282367014,0
18.2,543.542295031995,800858.26183452,162534.633569377,801401.804129552,0
18.4,528.230172777762,801549.202114189,162583.603467718,802077.432286967,0
18.6,513.240780124177,802137.870082855,162628.721865905,802651.110862979,0
18.8,498.613326685342,802631.781458796,162669.920132695,803130.394785482,0
19,484.35461692087,803046.847035777,162707.498176875,803531.201652698,1.5
19.2,355.226432278489,802975.912995934,162741.703149013,803331.139428212,1.5
19.4,259.077672862359,802948.759874036,162772.971281359,803207.837546899,1.5
19.6,188.481181658425,802950.740804962,162801.489113368,803139.22198662,1.5
19.8,136.854669761908,802971.617283881,162827.492766324,803108.471953643,1.5
20,99.068020014081,803002.573930813,162851.210096909,803101.641950827,0
20.2,96.2521578867146,803478.808858583,162872.534318824,803575.06101647,0
20.4,93.5030847141904,803876.015855551,162892.102812539,803969.518940266,0
20.6,90.8177267607413,804210.111937989,162910.126674993,804300.92966475,0
20.8,88.2025031327634,804486.158550375,162926.579329018,804574.361053508,0
21,85.6575815437844,804714.31699068,162941.581851217,804799.974572224,1.5
21.2,60.965852627835,804426.299346699,162955.237704875,804487.265199327,1.5
21.4,43.1392206680153,804199.087477189,162967.7146909,804242.226697857,1.5
21.6,30.4577321654451,804020.575174023,162979.091272287,804051.032906189,1.5
21.8,21.469209110788,803879.78042632,162989.462904122,803901.249635431,1.5
22,15.0872269811776,803767.8901072,162998.920891777,803782.977334181,0
22.2,14.6567346667515,804168.324533178,163007.422949119,804182.981267845,0
