time,S,R,F,T,dose_u1
21.4,-1810682.54197638,2753815.65428404,109300.762386563,943133.112307656,0
21.6,-1866687.88722734,2807587.23981461,109300.771632534,940899.352587272,0
21.8,-1924633.79155404,2863147.37003908,109300.779553268,938513.578485043,0
22,-1984664.70332988,2920628.43748793,109300.786323909,935963.734158057,0
22.2,-2047314.78466611,2980521.50107663,109300.791977265,933206.716410515,0
22.4,-2112251.20752991,3042518.34907185,109300.796869419,930267.141541949,0
22.6,-2179502.6665843,3106642.59016666,109300.801126965,927139.923582361,0
22.8,-2249478.38969081,3173267.31454128,109300.80477427,923788.924850471,0
23,-2322411.57699486,3242602.84459277,109300.807891986,920191.267597911,0
23.2,-2399108.85431844,3315383.31192648,109300.810495219,916274.457608044,0
23.4,-2479136.8773575,3391206.58872132,109300.812747937,912069.711363813,0
23.6,-2562578.52589936,3470141.58137952,109300.814708433,907563.055480168,0
23.8,-2650089.10901171,3552778.20318919,109300.816387928,902689.094177481,0
24,-2742082.87763669,3639484.12385569,109300.81782356,897401.246219001,0
24.2,-2839891.89513832,3731455.17443226,109300.819022285,891563.279293948,0
24.4,-2942949.64422045,3828165.08526649,109300.820059607,885215.441046036,0
24.6,-3051483.256928,3929803.43326146,109300.820962367,878320.176333459,0
24.8,-3166669.32045326,4037411.69718682,109300.821735733,870742.37673356,0
25,-3289349.71451658,4151723.29872209,109300.822396807,862373.584205514,0
