time,S,R,F,T
17.6,3.49659798705926,801474.391800696,162365.015031355,801477.888398683
17.8,2.61469333842455,801693.651174104,162429.306263077,801696.265867443
18,1.94949973313705,801890.234987589,162487.970037041,801892.184487322
18.2,1.4494964221327,802066.382775535,162541.495086688,802067.832271957
18.4,1.07451951075193,802224.097056318,162590.328586086,802225.171575829
18.6,0.794089796525363,802365.167848549,162634.879334368,802365.961938345
18.8,0.585093525410936,802491.197071204,162675.520895836,802491.782164729
19,0.429873968686812,802603.620759718,162712.594588425,802604.050633686
19.2,0.314813094483802,802703.728752337,162746.41228024,802704.043565431
19.4,0.229749258570755,802792.679870328,162777.258759458,802792.909619587
19.6,0.167117142664089,802871.516143951,162805.393948404,802871.683261094
19.8,0.121271082963014,802941.17643639,162831.055143308,802941.297707473
20,0.087832914738958,803002.509880804,162854.45934675,803002.597713719
20.2,0.0634242654352255,803056.283472664,162875.80467224,803056.346896929
20.4,0.0456243973013537,803103.189331068,162895.271777051,803103.234955466
20.6,0.0327031883915101,803143.853180102,162913.025478748,803143.88588329
20.8,0.0233775705403074,803178.841830388,162929.216232255,803178.865207958
21,0.0166745295462436,803208.668891084,162943.981318537,803208.685565613
21.2,0.0118599751327896,803233.800396751,162957.446065902,803233.812256726
21.4,0.008407422888602,803254.659187932,162969.724836003,803254.667595355
21.6,0.00594035164166467,803271.62906127,162980.921960907,803271.635001621
21.8,0.00418739520676707,803285.05844169,162991.13259094,803285.062629085
22,0.00294546473144647,803295.263905004,163000.443518816,803295.266850469
22.2,0.00206544522593814,803302.533290532,163008.93393003,803302.535355977
22.4,0.00144239858730722,803307.128498237,163016.676095049,803307.129940636
22.6,0.0010036209713236,803309.287542974,163023.735882851,803309.288546595
22.8,0.000696598304106226,803309.226942245,163030.173360012,803309.227638843
23,0.000482273997434819,803307.143861209,163036.043335941,803307.144343483
23.2,0.000332670000624648,803303.217919929,163041.395833876,803303.218252599
23.4,0.000228555907985647,803297.612512432,163046.276437384,803297.612740987
23.6,0.000156492370294148,803290.476392708,163050.726707393,803290.4765492
23.8,0.000106875205969539,803281.945101273,163054.784560144,803281.945208148
24,7.28085184044004e-05,803272.14215177,163058.484585139,803272.142224579
24.2,4.94482384559391e-05,803261.180072537,163061.858326553,803261.180121985
24.4,3.33995596235429e-05,803249.161512165,163064.934583206,803249.161545565
24.6,2.24371470933891e-05,803236.179804755,163067.739562429,803236.179827193
24.8,1.49032003804679e-05,803222.320272371,163070.297235546,803222.320287274
25,1.00498473816602e-05,803207.659576814,163072.629161367,803207.659586864
