time,S,R,F,T
17.8,132589.221856404,-70794.3917147742,109302.834203977,61794.8301416293
18,128990.131634863,-73483.332520686,109302.828898414,55506.7991141772
18.2,125545.099919519,-76250.1705339737,109302.485129004,49294.9293855455
18.4,122262.521062742,-79095.0367518854,109302.400418481,43167.4843108561
18.6,119126.634018175,-82018.9589019616,109302.231088811,37107.6751162135
18.8,116130.665603542,-85022.5527879392,109301.998569759,31108.1128156029
19,113267.661582727,-88106.3843223634,109301.728015165,25161.2772603638
19.2,110530.486665778,-91270.9695265877,109301.448302933,19259.5171391899
19.4,107913.046189625,-94516.8015136063,109301.181319548,13396.2446760187
19.6,105419.807751588,-97844.5607890293,109300.858444809,7575.24696255862
19.8,103038.258062399,-101254.50691527,109300.562135708,1783.7511471288
20,100762.589715767,-104747.001672904,109300.318167251,-3984.41195713697
20.2,98587.0098729967,-108322.361271937,109300.154322693,-9735.35139894049
20.4,96505.7402629858,-111980.856351805,109300.100393548,-15475.1160888193
20.6,94514.2970643874,-115722.901907694,109300.145347438,-21208.6048433066
20.8,92613.2832504655,-119549.620050244,109300.110414667,-26936.3367997786
21,90794.3799656404,-123460.761215492,109300.117896459,-32666.381249852
21.2,89053.0931654721,-127456.59568466,109300.164589866,-38403.502519188
21.4,87385.0593101713,-131537.365372715,109300.245420275,-44152.3060625441
21.6,85786.0453645986,-135703.283828374,109300.353441416,-49917.2384637752
21.8,84254.5630555463,-139954.999163865,109300.464471915,-55700.4361083187
22,82792.0320427829,-144294.047095776,109300.545238894,-61502.0150529926
22.2,81388.5712507561,-148719.984903886,109300.629368355,-67331.4136531295
22.4,80040.0019805187,-153233.21638037,109300.713470987,-73193.214399851
22.6,78742.1455331239,-157834.145317403,109300.794157476,-79091.999784279
22.8,77490.8232096246,-162523.17550716,109300.86803851,-85032.3522975352
23,76281.8563110739,-167300.710741815,109300.931724777,-91018.8544307412
23.2,75114.8404770841,-172168.048153447,109300.985172243,-97053.2076763626
23.4,74006.6071691974,-177130.564382964,109301.043613356,-103123.957213766
23.6,72938.9992004112,-182185.354684909,109301.091269366,-109246.355484498
23.8,71909.1421962213,-187333.131569144,109301.125907012,-115423.989372923
24,70914.1617821236,-192574.607545531,109301.145293032,-121660.445763407
24.2,69951.1835836138,-197910.495123932,109301.147194166,-127959.311540318
24.4,69017.333226188,-203341.50681421,109301.129377151,-134324.173588022
24.6,68109.9210803848,-208868.446458799,109301.090211667,-140758.525378414
24.8,67233.1997629823,-214495.549944666,109301.05072432,-147262.350181684
25,66385.5563040592,-220224.153383394,109301.012798608,-153838.597079335
