time,S,R,F,T
16.8,1137485.03696187,50069.4133902338,109287.212182204,1187554.4503521
17,1138073.51184111,49478.6198357955,109287.465740668,1187552.1316769
17.2,1138664.81700024,48893.2492459142,109288.088535768,1187558.06624616
17.4,1139260.45427555,48313.3333429779,109289.156516029,1187573.78761853
17.6,1139861.92550332,47738.9038493747,109290.745629978,1187600.8293527
17.8,1140470.73251982,47169.9924874927,109292.93182614,1187640.72500732
18,1141043.66584158,46604.495847503,109293.573209135,1187648.16168908
18.2,1141608.23500043,46043.6876162221,109294.035803681,1187651.92261665
18.4,1142168.85631664,45487.7386935149,109294.540127299,1187656.59501015
18.6,1142725.68895893,44936.6166843874,109295.095527323,1187662.30564332
18.8,1143278.89209602,44390.289193846,109295.711351092,1187669.18128987
19,1143828.62489663,43848.7238268967,109296.396945942,1187677.34872353
19.2,1144375.04652947,43311.8881885459,109297.161659208,1187686.93471802
19.4,1144918.31616327,42779.7498837996,109298.014838229,1187698.06604707
19.6,1145458.59296673,42252.2765176642,109298.965830339,1187710.8694844
19.8,1145995.6726716,41729.416674286,109300.00252019,1187725.08934589
20,1146520.31515371,41210.6460367271,109300.579182081,1187730.96119044
20.2,1147039.53207022,40696.2908422308,109301.109835445,1187735.82291245
20.4,1147553.2156109,40186.304723178,109301.588061242,1187739.52033408
20.6,1148061.25796554,39680.6413119496,109302.007440429,1187741.89927749
20.8,1148563.55132391,39179.2542409264,109302.361553964,1187742.80556483
21,1149059.9878758,38682.0971424895,109302.643982805,1187742.08501829
21.2,1149550.45981099,38189.1236490196,109302.84830791,1187739.58346001
21.4,1150034.85931927,37700.2873928977,109302.968110238,1187735.14671217
21.6,1150513.07859041,37215.5420065047,109302.996970745,1187728.62059691
21.8,1150985.95866707,36734.8868112053,109302.967337314,1187720.84547828
22,1151457.6333335,36258.4796798337,109303.046535145,1187716.11301334
22.2,1151924.52458041,35786.1071484022,109303.08599886,1187710.63172881
22.4,1152386.68039246,35317.7303510975,109303.08569109,1187704.41074355
22.6,1152844.14875431,34853.3104221063,109303.045574463,1187697.45917642
22.8,1153296.97765064,34392.8084956151,109302.965611611,1187689.78614626
23,1153745.21506611,33936.1857058106,109302.845765162,1187681.40077192
23.2,1154188.90898538,33483.4031868795,109302.685997747,1187672.31217226
23.4,1154628.10739312,33034.4220730083,109302.486271997,1187662.52946613
23.6,1155062.858274,32589.2034983838,109302.246550539,1187652.06177239
23.8,1155493.76642582,32147.7521773665,109301.996433051,1187641.51860319
24,1155922.02901812,31710.1191875608,109301.797048898,1187632.14820568
24.2,1156346.9025892,31276.2037189072,109301.606235033,1187623.10630811
24.4,1156768.55470515,30845.9762648882,109301.43031895,1187614.53097004
24.6,1157187.15293204,30419.4073189857,109301.275628142,1187606.56025103
24.8,1157602.86483595,29996.4673746822,109301.148490102,1187599.33221063
25,1158015.85798295,29577.1269254597,109301.055232324,1187592.98490841
